,0,4,9,25,26,48,67,68,75,95,1,14,18,34,61,69,2,17,27,36,3,8,12,15,35,45,57,62,76,84,16,38,56,59,94,5,71,88,6,20,73,99,7,31,50,86,93,11,24,44,80,82,91,30,37,46,60,10,49,53,55,52,63,66,13,47,65,78,29,42,74,40,43,51,64,83,28,96,19,70,89,21,32,77,22,87,23,33,92,97,54,58,81,90,79,41,85,39,98,72,101
11,248.4587,319.9847,19.4501,13.8033,445.4689,424.1366,33.9435,267.2813,11.8583,133.0133,6.8389,210.8135,327.5138,411.5882,12.6739,11.2936,144.3068,18.1325,24.3439,279.8298,19.4501,325.0041,202.0296,23.1518,13.0504,32.1867,20.4539,533.3078,365.159,504.4465,267.2813,708.9857,352.6106,16.5012,1108.0255,18.5717,45.739,296.1427,259.7523,400.2946,9.6623,39.904,16.8776,15.4346,171.9134,715.2599,107.289,18.1952,392.7655,332.5331,380.2171,348.8461,49.2525,420.3721,15.6855,602.3242,278.5749,207.0489,13.866,11.9837,3.3253,154.3456,2.5724,267.2813,11.1054,34.1317,4.7057,250.9684,14.9954,381.472,215.8328,567.1886,14.6817,20.8931,254.7329,33.8807,311.2008,3106.9888,14.0542,306.1814,22.0852,15.6855,220.8522,28.9869,282.3394,6.7134,11.8583,13.8033,250.9684,179.5051,259.7523,156.8553,57.3463,463.0367,35.9512,17.9442,32.124,12.5484,1365.2681,335.0428,627.421
12,290.1912,300.1978,19.3878,15.5102,424.0293,441.5409,33.2094,283.937,11.9454,137.0278,7.3799,233.9041,332.7192,366.4914,13.3213,12.8835,142.5939,16.5734,24.9539,248.914,17.9493,337.7225,192.6269,21.8269,11.0698,34.0224,18.4497,512.8378,392.7587,521.5936,275.1813,656.6826,332.7192,14.0718,1138.2498,18.1995,41.3397,291.442,205.1351,421.5277,8.4431,35.5234,17.0737,17.0737,156.353,717.973,104.0686,19.7005,407.7686,357.7357,365.2406,381.5013,50.846,421.5277,17.0737,674.1941,287.6895,235.1549,13.0711,12.3832,4.0652,146.3464,3.002,257.6697,12.3832,35.3983,4.9408,247.6632,14.7597,376.498,215.1417,497.828,13.634,23.6406,302.6994,35.5234,365.2406,3125.8092,13.1962,337.7225,23.2653,14.0718,226.3991,28.3937,278.9338,6.6919,11.445,12.5708,290.1912,182.3701,246.4123,142.5939,55.7242,481.5672,35.5859,20.3259,32.5214,11.6327,1387.1638,328.9667,625.412
13,295.411,296.668,20.3016,14.4563,388.434,406.033,33.878,280.3262,11.1251,141.1059,5.7197,204.9021,341.9225,333.123,13.4506,13.9535,139.5345,17.4732,26.587,219.9869,15.1477,348.2078,223.7581,21.4959,13.8906,34.9465,17.9761,491.5136,398.4906,515.3979,284.0974,682.5879,300.4393,13.6392,1156.5026,15.7134,45.3173,286.6115,219.9869,436.2026,9.6794,26.5241,20.4274,20.4902,150.8482,714.0146,105.1537,19.2331,460.0869,372.0921,331.866,384.6628,53.3625,446.2591,16.719,727.8424,277.812,257.6989,11.8793,13.3878,5.0283,143.3058,2.7655,281.5832,10.9365,34.4437,4.8397,227.5293,13.702,422.3748,203.645,433.6885,13.7649,23.4443,305.4675,36.455,392.2052,3169.0684,13.0735,362.0356,23.3815,15.022,213.7016,28.8497,280.3262,7.1024,12.5078,12.6964,314.267,185.9204,243.8712,124.4497,55.311,490.2565,35.0093,21.9358,33.6894,10.0565,1417.9727,304.2105,628.534
14,305.7613,308.2675,20.7391,14.5362,397.239,360.8986,34.3981,269.4208,11.2781,140.9133,5.5764,243.1053,353.3798,290.7238,13.5964,13.471,172.9306,17.1051,24.8118,265.6614,12.7818,322.0518,278.1926,17.857,14.2229,34.0222,18.2329,469.92,373.4298,472.4262,298.2426,699.241,268.1677,12.6565,1093.9738,13.7843,46.6161,273.1802,210.5242,431.0733,8.9598,24.4358,19.6113,21.8669,139.0963,719.2909,103.821,18.2329,451.1232,375.936,338.3424,369.6704,54.2601,431.0733,15.4134,768.1626,281.952,276.9395,11.9673,13.0951,5.5764,146.615,3.1328,300.7488,11.7167,35.15,5.7017,241.8522,14.0976,416.0358,191.7274,413.5296,14.5362,21.7416,294.4832,39.9119,423.5546,3131.5469,12.0926,358.3923,21.3657,15.664,218.0429,27.13,284.4582,7.3308,13.5337,13.9723,330.8237,186.0257,228.0678,116.5402,59.8365,492.4762,35.15,22.8694,31.8292,9.0225,1429.8099,315.7862,626.56
15,316.3212,281.0344,18.7146,14.4928,381.8539,337.7454,35.0978,279.7742,11.5942,140.4542,6.8683,279.7742,355.3888,322.6225,13.7997,14.0517,170.1329,17.5174,24.6378,225.5837,13.7997,347.8273,320.102,17.4544,14.6818,34.1526,18.8406,454.9481,373.0322,449.9071,297.4176,717.0788,248.2681,11.6573,1074.9881,12.5394,46.8181,247.0078,185.2559,408.3191,9.1368,24.1337,18.9037,24.1337,137.3666,777.5705,109.6412,17.6434,451.1674,379.3334,340.2659,375.5527,53.1193,447.3866,14.1147,827.9803,265.9115,297.4176,14.0517,12.7915,5.7341,132.3256,3.1506,308.7598,11.7203,38.4374,6.0492,263.391,16.9503,405.7986,196.5981,370.5117,14.0517,22.2433,299.9381,40.3278,428.483,3304.3598,11.9723,370.5117,19.7228,15.1859,211.721,25.898,292.3766,7.1834,13.6736,13.6106,339.0056,186.138,215.5017,105.8605,58.2233,475.112,35.7279,24.1337,31.6321,9.5148,1398.8708,323.8827,630.122
16,325.377,287.6886,18.1533,13.3166,373.1158,331.6584,35.3015,300.2514,11.495,141.583,5.7161,293.97,332.9147,290.2011,14.196,14.8241,183.4172,17.4623,24.2462,216.0805,14.3216,332.9147,280.1509,18.593,14.0075,36.9347,18.3417,454.7741,378.1409,428.3922,336.6836,698.4928,236.181,11.495,1075.3774,13.6307,44.1583,261.3067,163.3167,430.9047,8.4799,25.6282,18.5302,24.4975,144.4724,767.5883,108.9825,16.5201,427.1359,399.4977,364.3218,378.1409,54.1458,464.8243,11.2437,853.0155,253.769,337.9399,14.8241,13.3794,5.9045,130.6533,2.5754,305.2765,10.8668,38.6307,6.2814,265.0755,16.8342,414.5731,193.4674,391.96,13.9447,21.4196,315.3268,41.7086,428.3922,3282.6649,13.3794,395.7288,19.0955,18.2789,253.769,26.5704,322.8645,7.4749,12.1859,12.8141,320.3519,186.6835,204.774,113.0654,56.4071,492.4625,35.9925,22.6759,30.9045,10.49,1461.056,312.8142,628.141
17,293.023,293.023,19.0718,14.9038,385.2242,339.7551,32.7125,293.023,11.5567,143.9223,6.3152,277.8666,328.3878,284.1818,14.3354,15.4721,198.2957,17.4298,23.5555,222.2933,14.0196,314.4945,231.1345,16.5457,13.767,37.6383,18.6928,471.1102,366.2787,443.3235,328.3878,682.0362,238.7127,11.9988,1124.0967,14.5248,42.4378,276.6036,178.0872,409.2217,8.2728,25.3238,17.4298,23.5555,145.2484,785.6047,109.6942,14.7143,448.3756,420.589,381.4351,354.9114,52.0368,459.7429,10.7989,916.9598,245.0278,368.8048,16.2299,13.8933,6.3783,131.3551,2.5261,306.9163,10.1674,38.333,5.5573,270.2884,16.3562,404.1696,181.8763,429.4302,15.0932,20.9031,338.492,40.859,447.1126,3330.6101,13.5776,406.6957,21.1558,17.1772,267.7624,27.4709,338.492,8.0202,11.9356,13.3881,322.0726,190.2123,203.3478,131.3551,56.9627,511.5272,36.691,20.5242,32.081,10.7989,1444.9063,309.4424,631.515
18,292.1404,297.1773,19.455,14.4181,435.6922,368.9532,31.4806,282.0666,13.3478,147.3294,7.6813,256.8821,332.4357,303.4735,14.9218,15.7403,201.4762,15.4885,22.3513,235.4753,15.6774,309.7696,253.1044,15.2996,12.9071,36.7064,19.3291,434.433,350.0648,467.1728,334.9541,642.2053,253.1044,13.2219,1137.0811,14.0404,40.2952,288.3628,219.1053,395.397,8.059,25.4364,17.4403,24.3031,139.7741,799.6085,106.5935,13.7256,415.5446,415.5446,399.1746,351.3241,52.132,436.9514,10.0108,944.4195,236.7345,334.9541,15.0478,13.6626,6.3591,129.7003,1.8259,295.9181,12.2145,37.7138,5.9184,275.7705,15.2996,390.3601,178.8101,421.8407,16.7477,20.4624,355.1017,44.0729,448.2845,3290.3575,13.4737,401.6931,20.6513,15.9922,271.9928,28.4585,368.9532,8.3739,10.1368,13.7885,334.9541,191.906,183.847,135.9964,58.6799,504.9496,36.0139,20.4624,32.9288,10.4516,1463.2206,347.5464,629.613
19,282.405,335.5934,19.7557,15.0067,414.1095,314.0647,32.9261,303.9336,13.5504,146.1414,7.4084,278.6058,330.5278,284.9378,15.3866,15.9565,186.1593,13.1705,22.3518,236.8149,16.3364,316.5975,225.4174,16.3364,15.26,35.1423,19.5657,421.7079,330.5278,478.6954,327.995,667.3875,238.0813,14.4368,1147.3493,13.1705,38.4349,303.9336,265.9419,396.3801,8.928,25.3278,16.2731,23.7448,125.3726,768.6987,109.9227,11.7774,428.0398,448.3021,431.839,327.995,52.6185,447.0357,10.511,896.6041,244.4133,331.7942,15.7666,13.5504,6.7752,127.9054,1.9629,307.7328,13.1705,37.0419,6.3953,293.8025,16.843,376.1178,192.4913,450.8348,15.9565,20.7688,339.3925,43.6271,444.5029,3344.536,13.9303,433.1054,21.5919,14.2469,283.6714,28.2405,372.3187,8.4215,11.1442,13.1071,376.1178,194.4542,187.4257,148.1676,58.3806,520.4863,39.0048,21.7819,33.6227,8.8647,1475.3444,322.9295,633.195
20,285.2992,338.3194,21.3343,15.7798,377.4534,266.3634,32.7589,301.7103,13.0657,140.9454,7.6374,276.4625,352.2057,299.1855,16.0323,16.6004,183.046,13.1919,21.4606,238.591,15.7167,315.5965,218.3928,16.9791,17.2947,35.473,19.062,440.5727,313.0717,456.9837,309.2846,662.7526,238.591,14.0756,1129.8355,13.1288,38.8184,308.0222,243.6405,381.2406,8.7105,24.1747,17.1053,23.5435,128.7634,757.4316,113.1098,10.9196,436.7856,456.9837,432.9984,334.5323,53.3989,416.5874,11.8664,854.6353,260.0515,306.7598,15.8429,13.5706,6.7538,124.9762,1.7673,321.9084,14.3281,36.9248,6.3119,305.4974,17.0422,335.7947,179.2588,439.3103,14.8962,20.1351,344.6314,40.9644,486.0186,3395.8183,13.6969,435.5232,24.1116,15.4011,309.2846,28.9718,382.503,9.9097,12.0558,14.265,373.6663,190.3047,200.7194,156.5359,56.3024,512.5287,39.4496,21.6499,32.8852,7.7006,1470.6797,309.2846,631.193
