,node,past1,past2,past3
220,2.238,2.2272,2.2301,2.2254
221,2.2342,2.238,2.2272,2.2301
222,2.2301,2.2342,2.238,2.2272
223,2.2499,2.2301,2.2342,2.238
224,2.2636,2.2499,2.2301,2.2342
225,2.2768,2.2636,2.2499,2.2301
226,2.278,2.2768,2.2636,2.2499
227,2.2848,2.278,2.2768,2.2636
228,2.2927,2.2848,2.278,2.2768
229,2.2939,2.2927,2.2848,2.278
230,2.2982,2.2939,2.2927,2.2848
231,2.2998,2.2982,2.2939,2.2927
232,2.291,2.2998,2.2982,2.2939
233,2.2886,2.291,2.2998,2.2982
234,2.2886,2.2886,2.291,2.2998
235,2.2752,2.2886,2.2886,2.291
236,2.2709,2.2752,2.2886,2.2886
237,2.2792,2.2709,2.2752,2.2886
238,2.2959,2.2792,2.2709,2.2752
239,2.2912,2.2959,2.2792,2.2709
240,2.2808,2.2912,2.2959,2.2792
241,2.2855,2.2808,2.2912,2.2959
242,2.291,2.2855,2.2808,2.2912
243,2.2836,2.291,2.2855,2.2808
244,2.2722,2.2836,2.291,2.2855
245,2.2516,2.2722,2.2836,2.291
246,2.2487,2.2516,2.2722,2.2836
247,2.2468,2.2487,2.2516,2.2722
248,2.2334,2.2468,2.2487,2.2516
249,2.2234,2.2334,2.2468,2.2487
250,2.2243,2.2234,2.2334,2.2468
251,2.233,2.2243,2.2234,2.2334
252,2.2458,2.233,2.2243,2.2234
253,2.2526,2.2458,2.233,2.2243
254,2.2406,2.2526,2.2458,2.233
255,2.2286,2.2406,2.2526,2.2458
256,2.2211,2.2286,2.2406,2.2526
257,2.2126,2.2211,2.2286,2.2406
258,2.228,2.2126,2.2211,2.2286
259,2.2372,2.228,2.2126,2.2211
260,2.2475,2.2372,2.228,2.2126
261,2.2543,2.2475,2.2372,2.228
262,2.2533,2.2543,2.2475,2.2372
263,2.2404,2.2533,2.2543,2.2475
264,2.242,2.2404,2.2533,2.2543
265,2.2473,2.242,2.2404,2.2533
266,2.2496,2.2473,2.242,2.2404
267,2.2697,2.2496,2.2473,2.242
268,2.276,2.2697,2.2496,2.2473
269,2.2813,2.276,2.2697,2.2496
270,2.2675,2.2813,2.276,2.2697
271,2.2577,2.2675,2.2813,2.276
272,2.2653,2.2577,2.2675,2.2813
273,2.261,2.2653,2.2577,2.2675
274,2.2578,2.261,2.2653,2.2577
275,2.26,2.2578,2.261,2.2653
276,2.2653,2.26,2.2578,2.261
277,2.2739,2.2653,2.26,2.2578
278,2.2865,2.2739,2.2653,2.26
279,2.301,2.2865,2.2739,2.2653
280,2.2998,2.301,2.2865,2.2739
281,2.3014,2.2998,2.301,2.2865
