,1,2,3,4,5,6,7,8,9,10,11
20,612.2,384.8901,392.7263,437.9067,252.7162,340.6281,139.8877,351.8313,217.5759,128.3171,184.5783
21,617.8,389.5847,391.9323,437.2171,257.6226,342.0141,141.5998,352.5785,221.296,127.8846,186.8227
22,622.9,391.8041,391.8041,438.0233,260.6214,339.4805,140.0902,353.8072,221.3787,130.6844,190.4205
23,625.3,392.0006,393.1886,440.7114,261.8756,335.7861,138.504,356.421,221.4813,130.6877,193.2802
24,629.3,394.3823,396.2702,441.3281,265.187,337.8712,138.3831,362.4139,222.7093,131.5237,198.4812
25,633.1,393.0285,399.676,442.9801,264.3192,339.7215,140.9914,364.7289,223.1678,132.5078,203.605
26,635.8,395.7855,404.1145,448.1754,264.8107,337.6734,144.3266,365.5214,228.5065,133.5816,205.8085
27,640.0,395.52,400.832,445.12,266.368,340.8,145.024,365.312,233.92,133.376,210.176
28,642.5,395.3302,402.2692,444.8028,274.0262,346.1147,145.0122,363.2695,232.328,139.2298,211.768
29,645.0,396.8685,408.801,448.404,277.8015,349.0095,147.5115,361.329,234.7155,141.384,216.2685
30,648.2,401.4303,413.0979,452.1195,282.6152,349.1205,146.4932,359.8806,241.0008,142.0206,223.3697
31,648.6,403.6238,412.7042,451.2959,282.4004,350.1791,147.8159,359.3244,245.6248,144.5729,226.2965
32,656.1,407.5037,413.2774,448.1163,285.4691,347.7986,148.0818,363.8074,248.2682,144.4076,231.2752
33,660.4,413.2783,416.9105,447.6852,287.8684,347.1723,150.7033,367.5786,249.4991,140.0708,233.3854
34,661.4,418.4016,416.682,446.1804,291.016,347.1027,153.3787,367.077,250.8029,142.5317,237.7733
35,663.9,420.979,417.3939,450.9209,295.5019,347.0205,153.4273,370.5226,250.0247,142.4729,243.3194
36,667.7,424.991,414.5749,454.1028,298.729,353.013,155.7744,371.7754,254.7276,143.8226,246.5816
37,672.2,424.8304,416.8984,455.4827,301.6834,352.7706,156.8243,376.0959,256.5787,144.5902,249.924
38,669.8,425.9928,416.8165,454.9282,301.8119,353.3865,159.4794,379.3747,257.4711,147.49,251.108
39,672.9,431.9345,418.4765,458.7832,305.4293,356.3006,158.4679,378.7754,258.8646,150.7296,252.4721
40,678.5,430.9154,420.8736,464.094,311.4315,354.5162,158.294,379.4172,262.9866,149.8806,255.7266
41,684.0,433.5876,422.2332,466.4196,316.008,352.1916,159.3036,376.1316,260.8092,147.4704,259.9884
42,688.9,428.9091,424.5002,465.4208,321.0274,358.0902,163.1315,374.2794,263.022,147.9757,258.6131
43,692.7,430.0282,426.2183,468.1267,323.6987,362.9748,166.8022,378.0757,263.988,148.792,262.8104
44,696.9,431.172,427.1997,468.8743,327.6824,363.9909,167.8135,383.9222,269.2822,149.485,263.707
45,698.1,435.405,430.5881,471.0081,334.6691,364.6874,171.8722,384.5833,272.8175,149.3236,266.6742
46,699.7,438.2921,434.7936,471.3879,335.0863,365.1035,176.3244,384.905,278.2707,149.1061,270.9238
47,700.6,439.066,436.8241,475.4272,337.2688,367.3946,181.5255,383.7186,282.2017,148.8775,276.3867
48,703.6,439.4686,439.1168,480.4181,342.7236,370.2343,183.7803,385.5728,286.2948,148.3892,277.4998
49,703.0,442.3276,441.9058,485.9839,344.1888,373.293,183.4127,386.7906,290.9717,146.2943,282.3951
50,703.9,447.1877,440.7822,491.1814,347.797,372.9966,184.4922,388.2712,295.7788,145.5665,289.3733
51,709.7,445.4787,441.9302,497.7836,351.3725,373.5861,186.0124,391.6834,297.0804,146.1272,291.6867
52,711.3,446.483,445.4872,503.0314,352.378,378.625,188.0677,393.4912,298.6749,145.1763,294.1226
53,709.9,445.5332,447.379,507.5075,355.3759,384.4108,190.8921,393.7105,300.2877,144.8196,297.3771
54,710.6,452.0127,449.0281,509.4291,358.7819,382.516,190.7961,396.5148,305.7001,146.3125,300.3706
55,716.3,450.4094,451.269,511.08,361.5882,384.4382,190.8223,398.621,309.7281,150.9244,305.5736
56,719.0,455.127,454.9113,511.4966,366.1867,384.8088,195.4242,400.6987,312.9088,152.2123,312.4055
57,724.3,460.4375,457.323,514.9049,370.7692,386.2692,196.068,404.3043,313.6943,152.3203,314.6359
58,730.4,456.2078,460.079,512.0834,374.7682,389.011,195.8202,403.6921,315.1676,152.2154,315.971
59,735.9,457.0675,458.1713,513.879,378.9149,394.0009,196.6325,406.8791,317.9824,152.92,314.0085
60,738.4,457.5126,460.6139,515.7724,383.3034,392.5334,196.4882,404.4955,324.3791,152.4058,318.6934
61,741.8,460.8803,459.4709,516.8121,384.6233,397.0855,197.4672,400.7204,328.1723,154.2944,323.4248
62,746.4,466.2761,462.6187,522.4054,390.2179,395.0695,196.3778,397.6819,330.5806,154.878,329.461
63,751.2,463.3402,465.2933,526.8917,394.3049,396.4834,195.312,402.5681,333.3826,153.6204,335.6362
64,758.5,464.8846,461.7748,528.5228,398.2884,403.9771,198.1202,408.2247,338.0634,153.6721,341.1733
65,760.5,462.2319,459.0378,529.232,400.9356,403.8255,200.0115,418.7313,342.8334,156.5109,344.7346
66,761.1,462.5966,458.4866,535.8144,403.2308,408.7107,202.3004,418.0722,347.366,157.091,343.7889
67,764.3,460.185,460.2615,543.7994,406.3019,410.8112,204.6031,420.9,352.4952,154.7708,348.0622
68,768.1,459.0166,463.4715,548.8843,407.093,409.0901,206.3117,423.8376,356.4752,157.3069,352.7115
