,train predictions,actual
827,[992.64777],[991.8]
828,[991.9106],[991.1]
829,[991.18744],[991.6]
830,[991.98065],[992.2]
831,[992.5359],[993.1]
832,[993.6207],[994.3]
833,[994.9462],[994.]
834,[994.24976],[994.9]
835,[995.6089],[992.5]
836,[992.04254],[997.5]
837,[999.4599],[1002.6]
838,[1004.0656],[1003.1]
839,[1003.8446],[1003.]
840,[1003.8625],[1001.]
841,[1001.0057],[1001.9]
842,[1002.6622],[1002.7]
843,[1003.0226],[1001.2]
844,[1000.988],[999.8]
845,[999.68384],[1002.1]
846,[1002.9305],[1002.1]
847,[1002.08466],[999.9]
848,[999.6054],[1001.1]
849,[1001.7684],[1000.9]
850,[1000.84656],[1000.2]
851,[1000.2747],[1001.6]
852,[1002.23016],[1003.3]
853,[1003.9399],[1003.3]
854,[1003.60223],[1001.8]
855,[1001.7783],[998.7]
856,[998.1087],[998.3]
857,[998.37366],[998.3]
858,[998.1647],[1002.7]
859,[1004.0661],[1002.3]
860,[1002.16614],[1001.7]
861,[1002.16626],[1002.5]
862,[1003.089],[1005.4]
863,[1006.54956],[1002.3]
864,[1001.60516],[1000.2]
865,[1000.184],[999.2]
866,[998.95734],[998.6]
867,[998.4112],[997.4]
868,[997.01636],[996.5]
869,[996.28296],[994.1]
870,[993.39355],[993.1]
871,[992.8955],[995.1]
872,[995.6231],[992.3]
873,[991.3905],[992.1]
874,[992.4233],[996.]
875,[997.1474],[998.]
876,[998.6694],[999.1]
877,[999.96655],[1001.7]
878,[1003.0412],[1004.9]
879,[1006.35767],[1010.6]
880,[1012.93384],[1014.5]
881,[1016.30994],[1013.6]
882,[1014.2938],[1013.6]
883,[1014.60614],[1014.8]
884,[1015.6553],[1016.7]
885,[1017.62366],[1018.4]
886,[1019.2447],[1018.8]
887,[1019.3343],[1021.9]
888,[1023.32794],[1026.5]
889,[1028.2217],[1027.1]
890,[1027.7963],[1029.7]
891,[1031.3297],[1032.8]
892,[1034.232],[1035.]
893,[1036.273],[1036.3]
894,[1037.3419],[1038.9]
895,[1040.31],[1042.3]
896,[1043.8163],[1042.8]
897,[1043.483],[1044.6]
898,[1045.85],[1047.1]
899,[1048.2795],[1047.4]
900,[1047.9391],[1049.2]
901,[1050.3016],[1051.5]
902,[1052.5232],[1053.3]
903,[1054.2571],[1054.7]
904,[1055.5969],[1058.9]
905,[1060.6759],[1061.8]
906,[1063.0657],[1065.2]
907,[1066.94],[1065.8]
908,[1066.5942],[1065.9]
909,[1066.6802],[1066.2]
910,[1066.7484],[1066.6]
911,[1067.0212],[1070.2]
912,[1071.5411],[1074.4]
913,[1075.8385],[1079.8]
914,[1081.9578],[1082.4]
915,[1083.84],[1083.9]
916,[1085.3112],[1082.9]
917,[1083.3279],[1081.2]
918,[1081.2792],[1084.6]
919,[1085.9155],[1090.3]
920,[1092.0072],[1092.6]
921,[1093.6123],[1091.5]
922,[1091.9031],[1095.]
923,[1096.7972],[1098.2]
924,[1099.4204],[1100.3]
925,[1101.4921],[1101.8]
926,[1102.8319],[1102.8]
927,[1103.645],[1104.6]
928,[1105.6276],[1105.]
929,[1105.4623],[1110.]
930,[1112.0065],[1112.3]
931,[1113.1909],[1116.8]
932,[1118.9393],[1118.2]
933,[1119.134],[1122.6]
934,[1124.8468],[1124.4]
935,[1125.4391],[1129.2]
936,[1131.5435],[1130.9]
937,[1131.9143],[1131.9]
938,[1133.0618],[1134.2]
939,[1135.5011],[1140.2]
940,[1142.5609],[1140.7]
941,[1141.2372],[1140.6]
942,[1141.4847],[1140.]
943,[1140.2769],[1140.6]
944,[1141.1222],[1140.]
945,[1139.8945],[1141.]
946,[1141.4912],[1141.5]
947,[1141.6628],[1140.6]
948,[1140.4847],[1140.1]
949,[1140.1217],[1138.4]
950,[1137.8881],[1136.8]
951,[1136.3296],[1136.8]
952,[1136.6825],[1136.4]
953,[1136.0795],[1134.9]
954,[1134.3761],[1135.8]
