,0,1,2,3,4,5,6,7,8,9,10,11
40,0.0,1.0,0.6351,0.6203,0.684,0.459,0.5225,0.2333,0.5592,0.3876,0.2209,0.3769
41,0.0,1.0,0.6339,0.6173,0.6819,0.462,0.5149,0.2329,0.5499,0.3813,0.2156,0.3801
42,0.0,1.0,0.6226,0.6162,0.6756,0.466,0.5198,0.2368,0.5433,0.3818,0.2148,0.3754
43,0.0,1.0,0.6208,0.6153,0.6758,0.4673,0.524,0.2408,0.5458,0.3811,0.2148,0.3794
44,0.0,1.0,0.6187,0.613,0.6728,0.4702,0.5223,0.2408,0.5509,0.3864,0.2145,0.3784
45,0.0,1.0,0.6237,0.6168,0.6747,0.4794,0.5224,0.2462,0.5509,0.3908,0.2139,0.382
46,0.0,1.0,0.6264,0.6214,0.6737,0.4789,0.5218,0.252,0.5501,0.3977,0.2131,0.3872
47,0.0,1.0,0.6267,0.6235,0.6786,0.4814,0.5244,0.2591,0.5477,0.4028,0.2125,0.3945
48,0.0,1.0,0.6246,0.6241,0.6828,0.4871,0.5262,0.2612,0.548,0.4069,0.2109,0.3944
49,0.0,1.0,0.6292,0.6286,0.6913,0.4896,0.531,0.2609,0.5502,0.4139,0.2081,0.4017
50,0.0,1.0,0.6353,0.6262,0.6978,0.4941,0.5299,0.2621,0.5516,0.4202,0.2068,0.4111
51,0.0,1.0,0.6277,0.6227,0.7014,0.4951,0.5264,0.2621,0.5519,0.4186,0.2059,0.411
52,0.0,1.0,0.6277,0.6263,0.7072,0.4954,0.5323,0.2644,0.5532,0.4199,0.2041,0.4135
53,0.0,1.0,0.6276,0.6302,0.7149,0.5006,0.5415,0.2689,0.5546,0.423,0.204,0.4189
54,0.0,1.0,0.6361,0.6319,0.7169,0.5049,0.5383,0.2685,0.558,0.4302,0.2059,0.4227
55,0.0,1.0,0.6288,0.63,0.7135,0.5048,0.5367,0.2664,0.5565,0.4324,0.2107,0.4266
56,0.0,1.0,0.633,0.6327,0.7114,0.5093,0.5352,0.2718,0.5573,0.4352,0.2117,0.4345
57,0.0,1.0,0.6357,0.6314,0.7109,0.5119,0.5333,0.2707,0.5582,0.4331,0.2103,0.4344
58,0.0,1.0,0.6246,0.6299,0.7011,0.5131,0.5326,0.2681,0.5527,0.4315,0.2084,0.4326
59,0.0,1.0,0.6211,0.6226,0.6983,0.5149,0.5354,0.2672,0.5529,0.4321,0.2078,0.4267
60,0.0,1.0,0.6196,0.6238,0.6985,0.5191,0.5316,0.2661,0.5478,0.4393,0.2064,0.4316
61,0.0,1.0,0.6213,0.6194,0.6967,0.5185,0.5353,0.2662,0.5402,0.4424,0.208,0.436
62,0.0,1.0,0.6247,0.6198,0.6999,0.5228,0.5293,0.2631,0.5328,0.4429,0.2075,0.4414
63,0.0,1.0,0.6168,0.6194,0.7014,0.5249,0.5278,0.26,0.5359,0.4438,0.2045,0.4468
64,0.0,1.0,0.6129,0.6088,0.6968,0.5251,0.5326,0.2612,0.5382,0.4457,0.2026,0.4498
65,0.0,1.0,0.6078,0.6036,0.6959,0.5272,0.531,0.263,0.5506,0.4508,0.2058,0.4533
66,0.0,1.0,0.6078,0.6024,0.704,0.5298,0.537,0.2658,0.5493,0.4564,0.2064,0.4517
67,0.0,1.0,0.6021,0.6022,0.7115,0.5316,0.5375,0.2677,0.5507,0.4612,0.2025,0.4554
68,0.0,1.0,0.5976,0.6034,0.7146,0.53,0.5326,0.2686,0.5518,0.4641,0.2048,0.4592
69,0.0,1.0,0.5991,0.614,0.7164,0.5298,0.5341,0.2708,0.5522,0.4698,0.2054,0.4597
70,0.0,1.0,0.5943,0.6138,0.7178,0.5282,0.5282,0.2702,0.5484,0.4678,0.2092,0.4605
71,0.0,1.0,0.5965,0.6145,0.72,0.5274,0.5202,0.2698,0.5463,0.4696,0.213,0.461
